ご利用日,データ処理日,ご利用内容,金額,海外通貨利用金額,換算レート
2025/12/23,2025/12/24,PAYPAL *IDENAGAHIRO,"15,000",,
2025/12/18,2025/12/22,ロリポップ　ｂｙ　ＧＭＯペパボ　東京都,198,,
2025/12/10,2025/12/10,前回分口座振替金額,"-48,117",,
2025/12/07,2025/12/08,アドビ（株）　　　　　　　　　　　　　,"1,180",,
2025/12/05,2025/12/07,GOOGLE *GOOGLE ONE,290,,
2025/12/01,2025/12/05,ノート　東京都　千代田区　　　　　　　,490,,
2025/11/24,2025/11/25,GOOGLE*COLAB GOOGLE CLOUD JA,"1,179",,
2025/11/23,2025/11/26,PAYPAL *IDENAGAHIRO,"15,000",,
2025/11/18,2025/11/22,ロリポップ　ｂｙ　ＧＭＯペパボ　東京都,198,,
2025/11/14,2025/11/17,PAYPAL *IDENAGAHIRO,"15,000",,
2025/11/10,2025/11/11,KABUSHIKIGAISYA SPINS,"4,980",,
2025/11/10,2025/11/11,KABUSHIKIGAISYA SPINS,"9,800",,
2025/11/10,2025/11/10,前回分口座振替金額,"-63,566",,
2025/11/07,2025/11/09,ADOBE ADOBE SYSTEMS,"1,180",,
2025/11/05,2025/11/07,GOOGLE *GOOGLE ONE,290,,
2025/11/01,2025/11/05,ノート　東京都　千代田区　　　　　　　,490,,
2025/10/24,2025/10/25,GOOGLE*COLAB GOOGLE CLOUD JA,"1,179",,
2025/10/23,2025/10/26,PAYPAL *IDENAGAHIRO,"15,000",,
2025/10/18,2025/10/22,ロリポップ　ｂｙ　ＧＭＯペパボ　東京都,198,,
2025/10/14,2025/10/15,GOOGLE*COLAB GOOGLE CLOUD JA,"1,179",,
2025/10/14,2025/10/16,PAYPAL *IDENAGAHIRO,"15,000",,
2025/10/10,2025/10/12,GOOGLE*COLAB GOOGLE CLOUD JA,"1,179",,
2025/10/10,2025/10/10,前回分口座振替金額,"-53,884",,
2025/10/07,2025/10/09,ADOBE ADOBE SYSTEMS,"1,180",,
2025/10/07,2025/10/08,GOOGLE*COLAB GOOGLE CLOUD JA,"1,179",,
2025/10/05,2025/10/07,GOOGLE *GOOGLE ONE,290,,
2025/10/04,2025/10/05,GOOGLE*COLAB GOOGLE CLOUD JA,"1,179",,
2025/09/30,2025/10/01,GOOGLE*COLAB GOOGLE CLOUD JA,"1,179",,
2025/09/24,2025/09/25,GOOGLE*COLAB GOOGLE CLOUD JA,"1,179",,
2025/09/24,2025/09/25,MANUS AI,"24,494",160.00 USD,153.088
2025/09/23,2025/09/26,PAYPAL *IDENAGAHIRO,"15,000",,
2025/09/22,2025/09/24,ＤＭＭ　東京都　渋谷区　　　　　　　　,330,,
2025/09/19,2025/09/20,GOOGLE*COLAB GOOGLE CLOUD JA,"1,179",,
2025/09/18,2025/09/22,ロリポップ　ｂｙ　ＧＭＯペパボ　東京都,198,,
2025/09/16,2025/09/17,GOOGLE*COLAB GOOGLE CLOUD JA,"1,179",,
2025/09/14,2025/09/16,ＤＭＭ　東京都　渋谷区　　　　　　　　,220,,
2025/09/13,2025/09/16,PAYPAL *IDENAGAHIRO,"15,000",,
2025/09/11,2025/09/11,MANUS AI,"2,914",,
2025/09/11,2025/09/12,MANUS AI,"3,056",20.00 USD,152.8
2025/09/10,2025/09/11,MANUS AI,"2,898",19.00 USD,152.526
2025/09/10,2025/09/10,前回分口座振替金額,"-27,027",,
2025/09/09,2025/09/10,PAYPAL *HEXACT INC,"1,829",12.00 USD,152.417
2025/09/07,2025/09/09,ADOBE ADOBE SYSTEMS,"1,180",,
2025/09/05,2025/09/07,GOOGLE *GOOGLE ONE,70,,
2025/09/01,2025/09/18,お名前．ｃｏｍレンタルサ?バ?　東京都,"5,274",,
2025/08/31,2025/09/04,お名前．ｃｏｍ　ドメインサ?ビス　東京,"1,728",,
2025/08/29,2025/08/30,アマゾンサービシーズインターナショナル,980,,
2025/08/24,2025/08/25,GOOGLE*COLAB GOOGLE CLOUD JA,"1,179",,
2025/08/23,2025/08/27,PAYPAL *IDENAGAHIRO,"15,000",,
2025/08/19,2025/08/20,CANVA,"8,300",,
2025/08/18,2025/08/22,ロリポップ　ｂｙ　ＧＭＯペパボ　東京都,198,,
2025/08/12,2025/08/12,前回分口座振替金額,"-49,494",,
2025/08/09,2025/08/10,MOJIOKOSHISAN,"1,100",,
2025/08/07,2025/08/09,ADOBE ADOBE SYSTEMS,"1,180",,
